5.0	-0.343511 0.124762
10.0	-0.4032 0.0832718
15.0	-0.40687 0.0697755
20.0	-0.383088 0.0693267
25.0	-0.388334 0.0587331
30.0	-0.373124 0.0556446
35.0	-0.356386 0.0543359
40.0	-0.338479 0.0440061
45.0	-0.323964 0.0509853
50.0	-0.309342 0.0415463
100.0	-0.189739 0.0307086
150.0	-0.0966983 0.0243902
200.0	-0.0313759 0.0196154
250.0	0.0195042 0.0170498
300.0	0.0661387 0.0173208
350.0	0.104832 0.014336
400.0	0.133919 0.0121678
