0.3 15 5.0 [-0.352766, -0.357623, -0.452964, -0.404918, -0.449141, -0.379894, -0.518544, -0.305934, -0.243312, -0.5, -0.236289, -0.326816, -0.247406, -0.452964, -0.090551, -0.586461, -0.25048, -0.249769, -0.299674, -0.453169, -0.410833, -0.358087, -0.27022, -0.102766, -0.377531, -0.416101, -0.303367, -0.457341, -0.21523, -0.237464, -0.411658, -0.35579, -0.380387, -0.330532, -0.255321, -0.46993, -0.353115, -0.421456, -0.350919, -0.453685, -0.482492, -0.500517, -0.364827, -0.415091, -0.520016, -0.0869227, -0.393801, -0.330301, -0.147583, -0.391504, -0.513829, -0.182057, -0.571033, -0.279323, -0.295478, -0.322372, -0.0934321, -0.190168, -0.348389, -0.387061, -0.327938, -0.27696, -0.225883, -0.212867, -0.172311, -0.415608, -0.241246, -0.482659, -0.231912, -0.259103, -0.572439, -0.333062, -0.484301, -0.158403, -0.243029, -0.122094, -0.289716, -0.261634, -0.268801, -0.261597, -0.165571, -0.566656, -0.488883, -0.330532, -0.459704, -0.348595, -0.441847, -0.116246, -0.392857, -0.487787, -0.412873, -0.207315, -0.634452, -0.169238, -0.534049, -0.339766, -0.348389, -0.380387, -0.268337, -0.509452]
0.3 15 10.0 [-0.381442, -0.274642, -0.533412, -0.413893, -0.517806, -0.51707, -0.453842, -0.285997, -0.360704, -0.292209, -0.369673, -0.556558, -0.346579, -0.418328, -0.508589, -0.465561, -0.330547, -0.212484, -0.497607, -0.382343, -0.484308, -0.496551, -0.472067, -0.319519, -0.389561, -0.367162, -0.429243, -0.476508, -0.334666, -0.327455, -0.432072, -0.300101, -0.385412, -0.393939, -0.381198, -0.374808, -0.387716, -0.420905, -0.415703, -0.514596, -0.318025, -0.534888, -0.429698, -0.350198, -0.501401, -0.415703, -0.432895, -0.291276, -0.513935, -0.36541, -0.475116, -0.270706, -0.514596, -0.36481, -0.368239, -0.404603, -0.340575, -0.187258, -0.48775, -0.339091, -0.4803, -0.409738, -0.498204, -0.297034, -0.401097, -0.365907, -0.348848, -0.307948, -0.366041, -0.436644, -0.356443, -0.390125, -0.431505, -0.344834, -0.351735, -0.506262, -0.481304, -0.438237, -0.399534, -0.58105, -0.543252, -0.510095, -0.361375, -0.334225, -0.45359, -0.371559, -0.448558, -0.308127, -0.444873, -0.288526, -0.441904, -0.380608, -0.454581, -0.376014, -0.251873, -0.338729, -0.3316, -0.608746, -0.267017, -0.482986]
0.3 15 15.0 [-0.40194, -0.40636, -0.42185, -0.442653, -0.409186, -0.51874, -0.466343, -0.424997, -0.381571, -0.507267, -0.348617, -0.444765, -0.41301, -0.300824, -0.331152, -0.42567, -0.348255, -0.418597, -0.398835, -0.345944, -0.336353, -0.292012, -0.419034, -0.515144, -0.357145, -0.447855, -0.477823, -0.2931, -0.332283, -0.440082, -0.344487, -0.341501, -0.447285, -0.463029, -0.343812, -0.362367, -0.513741, -0.3944, -0.404418, -0.385743, -0.429279, -0.42811, -0.567234, -0.333976, -0.28088, -0.455818, -0.499164, -0.329624, -0.309255, -0.319671, -0.335461, -0.186396, -0.453849, -0.540043, -0.301694, -0.357721, -0.470342, -0.489009, -0.415769, -0.344437, -0.461275, -0.451124, -0.441571, -0.536878, -0.401879, -0.47565, -0.384457, -0.543423, -0.34731, -0.556779, -0.371549, -0.394672, -0.379259, -0.423507, -0.372025, -0.429152, -0.383677, -0.424606, -0.402196, -0.361115, -0.490113, -0.322609, -0.483729, -0.449237, -0.344967, -0.393349, -0.461512, -0.441115, -0.379058, -0.401348, -0.295447, -0.476334, -0.485925, -0.419939, -0.287475, -0.437031, -0.392794, -0.41057, -0.381148, -0.475314]
0.3 15 20.0 [-0.420036, -0.289902, -0.299156, -0.377894, -0.296733, -0.299289, -0.417127, -0.295242, -0.346715, -0.453433, -0.425702, -0.362412, -0.40432, -0.369235, -0.400957, -0.35898, -0.367586, -0.363328, -0.366086, -0.347797, -0.252513, -0.434585, -0.468607, -0.266344, -0.287405, -0.455357, -0.247568, -0.354114, -0.379915, -0.495934, -0.529434, -0.513153, -0.387191, -0.423411, -0.41654, -0.392889, -0.393796, -0.393172, -0.392064, -0.350168, -0.307765, -0.381051, -0.463337, -0.418338, -0.469889, -0.312449, -0.356832, -0.456115, -0.378932, -0.261068, -0.273606, -0.4911, -0.326369, -0.366796, -0.42383, -0.408113, -0.329037, -0.395084, -0.346662, -0.271488, -0.427152, -0.405209, -0.273153, -0.416497, -0.416904, -0.302972, -0.285002, -0.463369, -0.460148, -0.520621, -0.337294, -0.489628, -0.424718, -0.315615, -0.41426, -0.401387, -0.348338, -0.387973, -0.458864, -0.324516, -0.407732, -0.310737, -0.382275, -0.281577, -0.403143, -0.376396, -0.465312, -0.409475, -0.329838, -0.398593, -0.308808, -0.384135, -0.495344, -0.447576, -0.502032, -0.480898, -0.510725, -0.240959, -0.374975, -0.390673]
0.3 15 25.0 [-0.403557, -0.351877, -0.404904, -0.456272, -0.352161, -0.317745, -0.361484, -0.44415, -0.415637, -0.300836, -0.467127, -0.364363, -0.40257, -0.404748, -0.378471, -0.355028, -0.337698, -0.392518, -0.48943, -0.439739, -0.326818, -0.460061, -0.360215, -0.344783, -0.443317, -0.35052, -0.366329, -0.289197, -0.293035, -0.392791, -0.453648, -0.427168, -0.284835, -0.469199, -0.417332, -0.383536, -0.425576, -0.486176, -0.398716, -0.30393, -0.438014, -0.382671, -0.396622, -0.371502, -0.408533, -0.349758, -0.304773, -0.48198, -0.358367, -0.365608, -0.474302, -0.328656, -0.462492, -0.337087, -0.338892, -0.388976, -0.372766, -0.372568, -0.483127, -0.434857, -0.357822, -0.420934, -0.476906, -0.446563, -0.281875, -0.376822, -0.378373, -0.419079, -0.334417, -0.38304, -0.414496, -0.275566, -0.34958, -0.418887, -0.351278, -0.453408, -0.337755, -0.429886, -0.368323, -0.393103, -0.31948, -0.391911, -0.399272, -0.423511, -0.459511, -0.430645, -0.307087, -0.391798, -0.303294, -0.446947, -0.487065, -0.436849, -0.320336, -0.414296, -0.453226, -0.448181, -0.432689, -0.421327, -0.170054, -0.338735]
0.3 15 30.0 [-0.375045, -0.420389, -0.459051, -0.313841, -0.432166, -0.364323, -0.248555, -0.32457, -0.473959, -0.321086, -0.363054, -0.388285, -0.390058, -0.386518, -0.383688, -0.338323, -0.361716, -0.403169, -0.392747, -0.348103, -0.367518, -0.46226, -0.334457, -0.386462, -0.413984, -0.258227, -0.205132, -0.411027, -0.439922, -0.400219, -0.357154, -0.354411, -0.355231, -0.260592, -0.297696, -0.409949, -0.436315, -0.402048, -0.350245, -0.416233, -0.333526, -0.430838, -0.417509, -0.434434, -0.357648, -0.444991, -0.240187, -0.409528, -0.36963, -0.349327, -0.356997, -0.4627, -0.474379, -0.414083, -0.362459, -0.381699, -0.357695, -0.315752, -0.428414, -0.407531, -0.404928, -0.308371, -0.231404, -0.407011, -0.365856, -0.387335, -0.31222, -0.397472, -0.360927, -0.31127, -0.351887, -0.334545, -0.323632, -0.380395, -0.356272, -0.311673, -0.363758, -0.424806, -0.391723, -0.416208, -0.320071, -0.413451, -0.436265, -0.391207, -0.332933, -0.364975, -0.401704, -0.362534, -0.462359, -0.320853, -0.371818, -0.424991, -0.386835, -0.37163, -0.418567, -0.336261, -0.388016, -0.508385, -0.276652, -0.324175]
0.3 15 35.0 [-0.439052, -0.374318, -0.475522, -0.252818, -0.222407, -0.412234, -0.346077, -0.293553, -0.259095, -0.314675, -0.38269, -0.339395, -0.287836, -0.424306, -0.334016, -0.452786, -0.309101, -0.360975, -0.422024, -0.314921, -0.348407, -0.355428, -0.398202, -0.330135, -0.329636, -0.338147, -0.376447, -0.318453, -0.334712, -0.327102, -0.34399, -0.376405, -0.386927, -0.354723, -0.372803, -0.375093, -0.35832, -0.312184, -0.284279, -0.34015, -0.381261, -0.374689, -0.365578, -0.34074, -0.337795, -0.366892, -0.331576, -0.346288, -0.439453, -0.363622, -0.339777, -0.308935, -0.418947, -0.339004, -0.233604, -0.353294, -0.338483, -0.412701, -0.422853, -0.389208, -0.39191, -0.377103, -0.367268, -0.342663, -0.25841, -0.379826, -0.367177, -0.514283, -0.344608, -0.470547, -0.325804, -0.333923, -0.380416, -0.343001, -0.409804, -0.354556, -0.292998, -0.297125, -0.270178, -0.37343, -0.369174, -0.323875, -0.448231, -0.388083, -0.273947, -0.434894, -0.281896, -0.429358, -0.306159, -0.319603, -0.469645, -0.32004, -0.431357, -0.312085, -0.357907, -0.39322, -0.412052, -0.353517, -0.360143, -0.274302]
0.3 15 40.0 [-0.337852, -0.267818, -0.333491, -0.346748, -0.41958, -0.378301, -0.325821, -0.369119, -0.374701, -0.233537, -0.327492, -0.355796, -0.34934, -0.353945, -0.253636, -0.35162, -0.403191, -0.253951, -0.343569, -0.319066, -0.251224, -0.374846, -0.373505, -0.283469, -0.298888, -0.32484, -0.357268, -0.318216, -0.249524, -0.270511, -0.309258, -0.361128, -0.379277, -0.339461, -0.44942, -0.300742, -0.31958, -0.417099, -0.312962, -0.320885, -0.316368, -0.412488, -0.274891, -0.3137, -0.352043, -0.393432, -0.39123, -0.403796, -0.36579, -0.364466, -0.372792, -0.316159, -0.377965, -0.303837, -0.325489, -0.428376, -0.340985, -0.342279, -0.375217, -0.273706, -0.290475, -0.274891, -0.266368, -0.33512, -0.374604, -0.301507, -0.324277, -0.293832, -0.358095, -0.407702, -0.344033, -0.38444, -0.344403, -0.347142, -0.352042, -0.28798, -0.307129, -0.336633, -0.331562, -0.347206, -0.322233, -0.34199, -0.407964, -0.339129, -0.331556, -0.313579, -0.39397, -0.311671, -0.334754, -0.336232, -0.255657, -0.384076, -0.319528, -0.325201, -0.349082, -0.378883, -0.326759, -0.34958, -0.410037, -0.350928]
0.3 15 45.0 [-0.218319, -0.23574, -0.350421, -0.313791, -0.337239, -0.269862, -0.265518, -0.308278, -0.346565, -0.425998, -0.335775, -0.264018, -0.411588, -0.379847, -0.289069, -0.317013, -0.360615, -0.372534, -0.365422, -0.425352, -0.366997, -0.283222, -0.309284, -0.3379, -0.309138, -0.290408, -0.398974, -0.393249, -0.316135, -0.38707, -0.443942, -0.34354, -0.320044, -0.315826, -0.290586, -0.285362, -0.379572, -0.398822, -0.265532, -0.328995, -0.301756, -0.369219, -0.285057, -0.291014, -0.304985, -0.387921, -0.326302, -0.315904, -0.413534, -0.346866, -0.360604, -0.270804, -0.30555, -0.280908, -0.32638, -0.333293, -0.424602, -0.338941, -0.225961, -0.20919, -0.293776, -0.312056, -0.234901, -0.282274, -0.402862, -0.242742, -0.37059, -0.26235, -0.287825, -0.248615, -0.356441, -0.324606, -0.371749, -0.327318, -0.229168, -0.382227, -0.370983, -0.319771, -0.249455, -0.292699, -0.325771, -0.286681, -0.341187, -0.314029, -0.297721, -0.3754, -0.2683, -0.352238, -0.293484, -0.278038, -0.363749, -0.32355, -0.354129, -0.323392, -0.371295, -0.348233, -0.274174, -0.364779, -0.288665, -0.312798]
0.3 15 50.0 [-0.351263, -0.328556, -0.326482, -0.211112, -0.29563, -0.33779, -0.283679, -0.362827, -0.37983, -0.250734, -0.301099, -0.283549, -0.262516, -0.232622, -0.307115, -0.347068, -0.285288, -0.281727, -0.318413, -0.354699, -0.297906, -0.311784, -0.320974, -0.345266, -0.323938, -0.307511, -0.263227, -0.301322, -0.360816, -0.281641, -0.294982, -0.302801, -0.293423, -0.335107, -0.299613, -0.306549, -0.342097, -0.265241, -0.29573, -0.376853, -0.405736, -0.327276, -0.239883, -0.307203, -0.249767, -0.382158, -0.315689, -0.351567, -0.32942, -0.297207, -0.23817, -0.32282, -0.267692, -0.287121, -0.27516, -0.274123, -0.353606, -0.412678, -0.304827, -0.358357, -0.249174, -0.263589, -0.314328, -0.324496, -0.327229, -0.315701, -0.335094, -0.285638, -0.344706, -0.289634, -0.322059, -0.267565, -0.209212, -0.272119, -0.338415, -0.373689, -0.372899, -0.365804, -0.338309, -0.342814, -0.260364, -0.300874, -0.315392, -0.290779, -0.299165, -0.308415, -0.373705, -0.27595, -0.325478, -0.298, -0.261778, -0.379009, -0.252842, -0.346227, -0.335287, -0.330366, -0.223289, -0.302898, -0.298526, -0.274173]
