5.0 0.5275477029172633	0.103188
10.0 0.5762689917542755	0.0715245
15.0 0.645773406143969	0.0697511
20.0 0.6717745741238939	0.0585679
25.0 0.6886446872949108	0.0511319
30.0 0.690697870130745	0.0453778
35.0 0.6972180604458375	0.0420388
40.0 0.7046803069176465	0.041599
45.0 0.7034106589540948	0.0431337
50.0 0.7074217540767644	0.0409969
100.0 0.7151009692626524	0.032848
150.0 0.7262957702540036	0.0224913
200.0 0.7335124971047677	0.0199116
250.0 0.73833499994821	0.0160082
300.0 0.7377635214900482	0.0150537
350.0 0.7426609777367587	0.0146704
400.0 0.7412029869406764	0.0133235
