10 0.015 0.3 0.045 200.0 0.043104908249909514
20 0.015 0.3 0.045 200.0 0.1497719218174366
30 0.015 0.3 0.045 200.0 0.29862051306480614
40 0.015 0.3 0.045 200.0 0.4547043688842618
50 0.015 0.3 0.045 200.0 0.6100512756885682
60 0.015 0.3 0.045 200.0 0.7377973637924399
70 0.015 0.3 0.045 200.0 0.8443868048724092
80 0.015 0.3 0.045 200.0 0.9152857168188394
90 0.015 0.3 0.045 200.0 0.9732271018941882
100 0.015 0.3 0.045 200.0 1.0098349441528465
110 0.015 0.3 0.045 200.0 1.0302183148650572
120 0.015 0.3 0.045 200.0 1.049110117232276
130 0.015 0.3 0.045 200.0 1.0549917141370733
140 0.015 0.3 0.045 200.0 1.0536677410190896
150 0.015 0.3 0.045 200.0 1.054800848847973
160 0.015 0.3 0.045 200.0 1.0497422715534126
170 0.015 0.3 0.045 200.0 1.0472134875264933
180 0.015 0.3 0.045 200.0 1.0481544762849737
190 0.015 0.3 0.045 200.0 1.0403554723770627
200 0.015 0.3 0.045 200.0 1.0389607464401172
210 0.015 0.3 0.045 200.0 1.0363176393022888
220 0.015 0.3 0.045 200.0 1.0272007433463666
230 0.015 0.3 0.045 200.0 1.0236257508422264
240 0.015 0.3 0.045 200.0 1.0180173293901174
250 0.015 0.3 0.045 200.0 1.01460450586139
260 0.015 0.3 0.045 200.0 1.0092882523783968
270 0.015 0.3 0.045 200.0 1.0094150849307757
280 0.015 0.3 0.045 200.0 1.0057849342507768
290 0.015 0.3 0.045 200.0 0.9953231959414459
300 0.015 0.3 0.045 200.0 0.989836108591322
325 0.015 0.3 0.045 200.0 0.9819579852538446
350 0.015 0.3 0.045 200.0 0.9663860789918182
375 0.015 0.3 0.045 200.0 0.9530662933171307
400 0.015 0.3 0.045 200.0 0.9399084512812358
425 0.015 0.3 0.045 200.0 0.9153092799153463
450 0.015 0.3 0.045 200.0 0.9032563435701865
475 0.015 0.3 0.045 200.0 0.8855905641401621
500 0.015 0.3 0.045 200.0 0.8621828813956104
525 0.015 0.3 0.045 200.0 0.8385842989325383
550 0.015 0.3 0.045 200.0 0.8142568106378479
575 0.015 0.3 0.045 200.0 0.788983571018544
600 0.015 0.3 0.045 200.0 0.7710246651920896
